,coefficient,std_error,t_stat,p_value
const,0.11224800967479823,0.003025052928676656,37.106130808726846,0.0
size_x_Manufacturing,-1.2840851676521814e-05,3.1299042269213433e-06,-4.102634057001934,4.1043267260398864e-05
size_x_Finance and Insurance,3.1339156468874614e-06,4.993384818507966e-06,0.6276134847992513,0.5302658522150758
size_x_Retail Trade,-1.8726542989110502e-05,1.3744971368927435e-05,-1.3624286647438681,0.17308122630025902
workers,7.488212640285368e-06,2.002256492340733e-06,3.7398868071748845,0.0001847254163693801
