state_name,industry_name,YEAR,firms_01: Total,firms_02: <5,firms_03: 5-9,firms_04: 10-19,firms_05: <20,firms_06: 20-99,firms_07: 100-499,firms_08: <500,firms_09: 500+,establishments_01: Total,establishments_02: <5,establishments_03: 5-9,establishments_04: 10-19,establishments_05: <20,establishments_06: 20-99,establishments_07: 100-499,establishments_08: <500,establishments_09: 500+,employment_01: Total,employment_02: <5,employment_03: 5-9,employment_04: 10-19,employment_05: <20,employment_06: 20-99,employment_07: 100-499,employment_08: <500,employment_09: 500+,annual_payroll_01: Total,annual_payroll_02: <5,annual_payroll_03: 5-9,annual_payroll_04: 10-19,annual_payroll_05: <20,annual_payroll_06: 20-99,annual_payroll_07: 100-499,annual_payroll_08: <500,annual_payroll_09: 500+
Alabama,Accommodation and Food Services,2013,28542,10395,5248,5638,21281,5489,889,27659,883,41915,10415,5290,5725,21430,6590,3495,31515,10400,807081,17683,34945,77168,130996,194821,121110,448511,358411,11169270000,433240000,451473000,969433000,1862270000,2628231000,1521108000,6035435000,5130794000
Alabama,Administrative and Support and Waste Management and Remediation Services,2013,18138,9750,2900,1563,14213,1831,748,16792,1346,21000,9760,2910,1595,14265,1950,975,17190,3810,664886,15784,18307,19819,55914,67755,90796,221057,427908,17725152000,539564000,524637000,654061000,1743858000,2138533000,2450192000,6507792000,10597257000
Alabama,"Agriculture, Forestry, Fishing and Hunting",2013,3904,1895,1165,515,3575,235,33,3843,61,3980,1895,1165,515,3575,240,35,3850,130,30945,3263,7093,6589,17420,7082,998,27135,1286,1140608000,125657000,231436000,247956000,611168000,280387000,24034000,970341000,95875000
Alabama,"Arts, Entertainment, and Recreation",2013,5116,2940,795,565,4300,609,114,5023,93,5455,2940,795,600,4335,640,175,5150,305,78176,3977,5087,6930,16773,23913,12788,57627,17347,1472114000,117119000,95747000,119661000,346884000,424541000,268190000,1118179000,317765000
Alabama,Construction,2013,36165,21335,6435,4095,31865,3366,516,35747,418,36795,21335,6435,4095,31865,3465,590,35920,875,390804,37789,41467,53489,134845,121681,57574,324949,56254,17193315000,1239895000,1397110000,2022910000,4685205000,5367093000,2871988000,13520470000,3095898000
Alabama,Educational Services,2013,3927,1665,635,570,2870,660,200,3730,197,4215,1665,635,575,2875,735,260,3870,345,140258,2415,4111,7235,14469,25012,26936,67860,69647,4103606000,63823000,68986000,121660000,262304000,520866000,811945000,1679214000,2376376000
Alabama,Finance and Insurance,2013,15898,9890,2175,855,12920,1168,555,14643,1255,35790,9900,2250,1235,13385,3380,3275,20040,15750,340078,17169,12203,9264,41618,40389,34438,120564,122850,21560311000,721902000,595165000,515662000,1899548000,1950100000,1757700000,5812162000,15537136000
Alabama,Health Care and Social Assistance,2013,40532,16390,10485,6485,33360,4637,1411,39408,1124,51570,16405,10535,6795,33735,6095,5285,45115,6455,1200466,33000,69357,85041,189873,170682,198046,567800,615973,51916431000,1831243000,2932699000,3935924000,8731887000,7977755000,6912112000,23842225000,27583758000
Alabama,Information,2013,3664,1500,575,371,2446,410,242,3098,566,7330,1500,585,400,2485,520,310,3315,4015,149088,2402,3183,4232,10552,10573,15451,47536,97022,8098905000,88661000,121041000,187670000,423277000,639298000,748243000,2191780000,5772634000
Alabama,Management of Companies and Enterprises,2013,2249,85,65,20,170,505,621,1296,953,3085,85,65,20,170,510,690,1370,1715,83285,80,325,20,530,5401,12170,18265,64984,6566885000,8548000,19555000,579000,32311000,313246000,770430000,1125615000,5439367000
